venue,eventName,Date,Time,Link,liveMusic,artistIDs,price
Larimer Lounge,Ski House – CJ. w/ A Second Wind (FREE EVENT),2025-12-31,21:00,https://larimerlounge.com/event/ski-house-cj-w-a-second-wind-free-event/ski-house/denver-colorado/,yes,"131, 132",0
Lions Lair,NEW YEARS EVE SHOW,2025-12-31,21:00,https://www.lionslairco.com/events/new-years-eve-show,yes,"133, 134, 135",
Marquis,Holdfast,2025-12-31,20:00,https://www.ticketmaster.com/holdfast-denver-colorado-12-31-2025/event/1E00635B08737DB7,yes,"136, 137, 138",28
Mission Ballroom,Magdalena Bay,2025-12-31,21:00,https://www.missionballroom.com/events/detail?event_id=1077466,yes,"139, 140",85.51
Nocturne Jazz,10th Annual New Year's Eve Celebration at Nocturne,2025-12-31,17:45,https://nocturnejazz.com/flat-view/16-uncategorised/3481-new-years-eve-at-nocturne,no,,
ogden theatre,Pigeons Playing Ping Pong,2025-12-31,20:00,https://www.ogdentheatre.com/events/detail?event_id=1099604,yes,"112, 113",63.89
Oriental Theater,The 80s VS 90s New Year's Eve Spectacular!,2025-12-31,,https://www.theorientaltheater.com/event/453231,yes,"141, 142",67.07
Reelworks,FKJ (DJ SET),2025-12-31,,https://reelworksdenver.com/event/fkj-nye/,yes,"143, 144, 145",182.59
skylark lounge,NYE Dance Party with DJ Kleiman,2025-12-31,,https://dice.fm/event/g5kke6-nye-dance-party-with-dj-kleiman-31st-dec-skylark-lounge-denver-tickets?pid=3b6c903d,yes,146,0
Summit,Gimme Gimme Disco - 18+,2025-12-31,21:00,https://www.ticketmaster.com/gimme-gimme-disco-18-denver-colorado-12-31-2025/event/1E00635CC3557656,yes,147,28
Two Moons Music,"NYE with Borahm Lee, Adam Deitch & Alvin Ford Jr.",2025-12-31,21:00,https://www.twomoonsmusic.com/events-list/nye-with-borahm-lee-adam-deitch-alvin-ford-jr,yes,"148, 149, 150",46.20
Church Nightclub,Decadence Official Recovery Party: AC Slater,2026-01-01,,https://churchnightclubco.com/event/ac-slater-upcoming-edm-shows-nightlife-concerts-events-tonight-tomorrow-2026-jan-1-best-nightclub-near-me-denver-co/,yes,151,34.95
Church Nightclub,Decadence Official Recovery Party: Gareth Emery,2026-01-02,,https://churchnightclubco.com/event/gareth-emery-upcoming-edm-shows-nightlife-concerts-events-tonight-tomorrow-2025-january-2-best-nightclub-near-me-denver-co/,yes,152,34.95
Reelworks,Official RuPaul’s Drag Race: S18 Watch Party,2026-01-02,,https://reelworksdenver.com/event/official-rupauls-drag-race-s18-watch-party/,no,,
skylark lounge,Hollowforest presents New Year Same Punx,2026-01-02,,https://dice.fm/event/dkan26-hollowforest-presents-new-year-same-punx-2nd-jan-skylark-lounge-denver-tickets?pid=3b6c903d,yes,"153, 154, 155, 156, 157, 158",18.08
Two Moons Music,Ramblin' Band Feat. Talk Box,2026-01-02,20:30,https://www.twomoonsmusic.com/events-list/ramblin-band-feat-talk-box,yes,"159, 160",11.80
Church Nightclub,Decadence Official Recovery Party: Netsky,2026-01-03,,https://churchnightclubco.com/event/decadence-recovery-party-netsky-edm-shows-events-clubs-den-2026-jan-3-best-night-club-near-me-denver-co/,yes,161,34.95
Gothic Theatre,Dead Pioneers,2026-01-03,20:00,https://www.gothictheatre.com/events/detail?event_id=1231131,yes,"162, 163, 164",36.86
Mission Ballroom,Nora En Pure,2026-01-03,20:00,https://www.missionballroom.com/events/detail?event_id=1168741,yes,"165, 166, 167",50.51
skylark lounge,Pray Burner/Hopebound/Gamma Paw,2026-01-03,,https://dice.fm/event/mx8bar-pray-burnerhopeboundgamma-paw-3rd-jan-skylark-lounge-denver-tickets?pid=3b6c903d,yes,"168, 169, 170",14.47
Two Moons Music,Bay Bryan,2026-01-03,18:00,https://www.twomoonsmusic.com/events-list/bay-bryan,yes,171,10.80
ogden theatre,Dean Lewis,2026-01-05,19:30,https://www.ogdentheatre.com/events/detail?event_id=585192,yes,"172, 173",46.12
Two Moons Music,The Playground,2026-01-06,19:00,https://www.twomoonsmusic.com/events-list/the-playground,no,,
