id,event_id,action,created_at,event_name
913,lotus-friday-1-16-cervantes-masterpiece-ballroom-2026-01-16,viewed,2026-01-17 02:51:15.745447+00,Lotus **FRIDAY 1/16**
914,wake-up-and-live-a-bob-marley-tribute-w-a-mac-the-height-dj-selekta-razja-cervantes-other-side-2026-02-05,viewed,2026-01-17 02:51:28.574169+00,"Wake Up and Live – A Bob Marley Tribute w/ A-Mac & the Height, DJ Selekta Razja"
915,chick-magnet-nostaljazz-slippery-when-wet-cervantes-other-side-2026-01-16,viewed,2026-01-17 02:51:28.598365+00,Chick Magnet & Nostaljazz & Slippery When Wet
916,lotus-friday-1-16-cervantes-masterpiece-ballroom-2026-01-16,viewed,2026-01-17 02:51:28.599209+00,Lotus **FRIDAY 1/16**
917,lotus-friday-1-16-cervantes-masterpiece-ballroom-2026-01-16,open_event_card,2026-01-17 02:51:34.556208+00,Lotus **FRIDAY 1/16**
918,sts9-cervantes-masterpiece-ballroom-2026-01-25,viewed,2026-01-17 02:54:03.663488+00,STS9
919,ozztin-w-yojas-inari-split-velcroshirt-cervantes-other-side-2026-01-23,viewed,2026-01-17 02:54:03.668271+00,"Ozztin w/ Yojas, Inari, SPLiT, VelcroShirt"
920,lotus-saturday-1-17-cervantes-masterpiece-ballroom-2026-01-17,viewed,2026-01-17 02:54:03.663691+00,Lotus **SATURDAY 1/17**
921,sts9-cervantes-masterpiece-ballroom-2026-01-25,viewed,2026-01-17 03:02:24.920246+00,STS9
922,shift-ft-midicinal-w-catparty-phlo-philia-cervantes-other-side-2026-01-29,viewed,2026-01-17 03:02:24.920238+00,"SHIFT Ft. MIDIcinal w/ CatParty, PhLo, Philia"
923,ozztin-w-yojas-inari-split-velcroshirt-cervantes-other-side-2026-01-23,viewed,2026-01-17 03:02:24.926886+00,"Ozztin w/ Yojas, Inari, SPLiT, VelcroShirt"
924,lotus-friday-1-16-cervantes-masterpiece-ballroom-2026-01-16,viewed,2026-01-17 03:03:29.096082+00,Lotus **FRIDAY 1/16**
925,chick-magnet-nostaljazz-slippery-when-wet-cervantes-other-side-2026-01-16,viewed,2026-01-17 03:03:29.104674+00,Chick Magnet & Nostaljazz & Slippery When Wet
926,wake-up-and-live-a-bob-marley-tribute-w-a-mac-the-height-dj-selekta-razja-cervantes-other-side-2026-02-05,viewed,2026-01-17 03:03:29.117953+00,"Wake Up and Live – A Bob Marley Tribute w/ A-Mac & the Height, DJ Selekta Razja"
927,great-blue-ft-peter-anspach-of-goose-w-jewel-house-and-special-guest-ruthie-bandit-dj-set-cervantes-other-side-2026-02-01,viewed,2026-01-17 03:10:45.13385+00,Great Blue ft. Peter Anspach of Goose w/ Jewel House and Special Guest Ruthie Bandit (DJ Set)
928,miilk-w-buzz-junior-sweetboi-cervantes-other-side-2026-01-31,viewed,2026-01-17 03:10:45.149172+00,"Miilk w/ Buzz Junior, Sweetboi"
929,flamingosis-w-blockhead-pure-colors-little-mac-cervantes-masterpiece-ballroom-2026-01-31,viewed,2026-01-17 03:10:45.149976+00,"Flamingosis w/ Blockhead, Pure Colors, Little Mac"
930,ozztin-w-yojas-inari-split-velcroshirt-cervantes-other-side-2026-01-23,viewed,2026-01-17 03:11:35.821321+00,"Ozztin w/ Yojas, Inari, SPLiT, VelcroShirt"
931,jimkata-w-barbara-cervantes-other-side-2026-01-22,viewed,2026-01-17 03:11:35.826106+00,Jimkata w/ Barbara
932,lotus-friday-1-16-cervantes-masterpiece-ballroom-2026-01-16,viewed,2026-01-17 03:11:35.862363+00,Lotus **FRIDAY 1/16**
933,chmura-duffrey-at-ogden-theatre-cervantes-masterpiece-ballroom-2026-01-30,viewed,2026-01-17 03:11:58.613358+00,Chmura & Duffrey AT OGDEN THEATRE
